action,context,order,states,top1,top3,top5,top10,mean_rank,mrr,draft_phase,order_bucket,dominant_role,acting_team_id,opponent_team_id
pick,team,,25,0.16,0.28,0.48,0.72,13.48,0.2997222389357401,,,,10108947.0,
pick,team,,50,0.18,0.54,0.66,0.84,7.94,0.3733452416320064,,,,2163.0,
pick,team,,25,0.08,0.2,0.28,0.56,22.0,0.20009836258288619,,,,2576071.0,
pick,team,,10,0.1,0.4,0.4,0.6,13.5,0.2852777777777778,,,,5014799.0,
pick,team,,10,0.0,0.4,0.6,0.6,18.4,0.22884660751833427,,,,5017210.0,
pick,team,,20,0.1,0.25,0.45,0.85,7.45,0.25873802681992336,,,,7119388.0,
pick,team,,15,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.6666666666666666,13.333333333333334,0.35292688792688787,,,,726228.0,
pick,team,,55,0.10909090909090909,0.34545454545454546,0.4727272727272727,0.7090909090909091,8.927272727272728,0.2868256281134096,,,,8255888.0,
pick,team,,40,0.075,0.3,0.4,0.55,17.525,0.22348207151842786,,,,8261500.0,
pick,team,,25,0.04,0.12,0.24,0.4,21.36,0.14654044550596274,,,,8291895.0,
pick,team,,55,0.2909090909090909,0.6,0.6909090909090909,0.8545454545454545,7.4363636363636365,0.46675081060476603,,,,9247354.0,
pick,team,,25,0.24,0.48,0.64,0.76,7.92,0.4082889551126839,,,,9255039.0,
pick,team,,25,0.08,0.16,0.32,0.48,15.2,0.19250364518399618,,,,9303383.0,
pick,team,,10,0.1,0.3,0.3,0.3,26.1,0.21940630715190804,,,,9303484.0,
pick,team,,65,0.2,0.3076923076923077,0.4,0.5230769230769231,14.323076923076924,0.3083597849706537,,,,9338413.0,
pick,team,,10,0.1,0.2,0.4,0.6,12.3,0.21976833108412053,,,,9351740.0,
pick,team,,65,0.23076923076923078,0.49230769230769234,0.6307692307692307,0.8307692307692308,5.846153846153846,0.40769301211608905,,,,9467224.0,
pick,team,,50,0.16,0.34,0.44,0.56,18.36,0.2842665762936831,,,,9572001.0,
pick,team,,15,0.06666666666666667,0.4666666666666667,0.5333333333333333,0.6666666666666666,9.933333333333334,0.2704664690887601,,,,9600141.0,
pick,team,,5,0.2,0.2,0.4,0.8,11.8,0.3167828106852497,,,,9885310.0,
pick,team,,10,0.4,0.5,0.5,0.6,11.3,0.4796074646074645,,,,9895247.0,
pick,team,,10,0.1,0.2,0.3,0.3,21.6,0.18836034813691221,,,,9928636.0,
pick,team,,10,0.2,0.3,0.3,0.4,12.4,0.3025378787878788,,,,9973656.0,
pick,opponent_team,,15,0.2,0.26666666666666666,0.3333333333333333,0.5333333333333333,11.666666666666666,0.30576939471440745,,,,,10020555.0
pick,opponent_team,,5,0.0,0.2,0.2,0.4,14.0,0.12075163398692809,,,,,10108713.0
pick,opponent_team,,25,0.16,0.44,0.6,0.72,8.68,0.3257267528341697,,,,,10108947.0
pick,opponent_team,,50,0.2,0.56,0.64,0.88,6.94,0.4078261674300694,,,,,2163.0
pick,opponent_team,,25,0.2,0.36,0.48,0.6,18.24,0.3245688873924168,,,,,2576071.0
pick,opponent_team,,10,0.1,0.3,0.4,0.4,16.8,0.23615258615258616,,,,,5014799.0
pick,opponent_team,,10,0.0,0.2,0.4,0.6,19.9,0.15910353535353533,,,,,5017210.0
pick,opponent_team,,20,0.15,0.5,0.6,0.85,7.25,0.36522315403894345,,,,,7119388.0
pick,opponent_team,,15,0.2,0.4,0.4666666666666667,0.5333333333333333,15.466666666666667,0.33113737590099274,,,,,726228.0
pick,opponent_team,,55,0.18181818181818182,0.43636363636363634,0.5818181818181818,0.8,6.909090909090909,0.3631736482471777,,,,,8255888.0
pick,opponent_team,,40,0.15,0.275,0.475,0.65,14.15,0.2840991689588529,,,,,8261500.0
pick,opponent_team,,25,0.16,0.4,0.52,0.68,13.36,0.32724197910835184,,,,,8291895.0
pick,opponent_team,,55,0.14545454545454545,0.45454545454545453,0.5454545454545454,0.7818181818181819,10.2,0.32188030077299445,,,,,9247354.0
pick,opponent_team,,25,0.16,0.2,0.32,0.48,14.24,0.24962565441470108,,,,,9255039.0
pick,opponent_team,,25,0.08,0.16,0.24,0.36,25.96,0.17675688062041503,,,,,9303383.0
pick,opponent_team,,10,0.2,0.3,0.6,0.8,7.0,0.34582417582417585,,,,,9303484.0
pick,opponent_team,,65,0.13846153846153847,0.35384615384615387,0.4461538461538462,0.6615384615384615,13.36923076923077,0.2961932804535029,,,,,9338413.0
pick,opponent_team,,10,0.0,0.2,0.2,0.3,24.2,0.1239520202020202,,,,,9351740.0
pick,opponent_team,,65,0.2153846153846154,0.35384615384615387,0.49230769230769234,0.6153846153846154,13.323076923076924,0.3352271703321965,,,,,9467224.0
pick,opponent_team,,50,0.2,0.36,0.48,0.66,11.78,0.3337252744035353,,,,,9572001.0
pick,opponent_team,,15,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.5333333333333333,11.733333333333333,0.2661363636363636,,,,,9600141.0
pick,opponent_team,,5,0.0,0.4,0.6,1.0,5.6,0.22833333333333333,,,,,9885310.0
pick,opponent_team,,10,0.1,0.2,0.3,0.3,21.6,0.18836034813691221,,,,,9895247.0
pick,opponent_team,,10,0.4,0.5,0.5,0.6,11.3,0.4796074646074645,,,,,9928636.0
pick,opponent_team,,10,0.1,0.6,0.7,0.8,7.9,0.3453238866396761,,,,,9973656.0
