hero_id,hero_name,pos1_prob,pos2_prob,pos3_prob,pos4_prob,pos5_prob,core_prob,support_prob,flex_score,total_role_games,role_source
72,Gyrocopter,0.9173640167364017,0.0020920502092050207,0.0031380753138075313,0.051255230125523014,0.02615062761506276,0.9225941422594142,0.07740585774058578,0.08263598326359833,951,data_inferred
73,Alchemist,0.8273809523809523,0.023809523809523808,0.02976190476190476,0.10119047619047619,0.017857142857142856,0.8809523809523809,0.11904761904761904,0.17261904761904767,331,data_inferred
74,Invoker,0.0017513134851138354,0.9719789842381786,0.0017513134851138354,0.021015761821366025,0.0035026269702276708,0.9754816112084063,0.024518388791593695,0.028021015761821366,566,data_inferred
75,Silencer,0.002544529262086514,0.005089058524173028,0.002544529262086514,0.058524173027989825,0.9312977099236641,0.010178117048346057,0.989821882951654,0.06870229007633588,388,data_inferred
76,Outworld Destroyer,0.027777777777777776,0.8888888888888888,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.9444444444444444,0.05555555555555555,0.11111111111111116,31,data_inferred
77,Lycan,0.09345794392523364,0.012461059190031152,0.8878504672897196,0.003115264797507788,0.003115264797507788,0.9937694704049844,0.006230529595015576,0.11214953271028039,316,data_inferred
78,Brewmaster,0.0024509803921568627,0.004901960784313725,0.9852941176470589,0.0024509803921568627,0.004901960784313725,0.9926470588235294,0.007352941176470588,0.014705882352941124,403,data_inferred
79,Shadow Demon,0.0010162601626016261,0.0020325203252032522,0.0010162601626016261,0.633130081300813,0.3628048780487805,0.0040650406504065045,0.9959349593495935,0.36686991869918695,979,data_inferred
80,Lone Druid,0.8656716417910447,0.04477611940298507,0.04477611940298507,0.029850746268656716,0.014925373134328358,0.9552238805970149,0.04477611940298507,0.13432835820895528,62,data_inferred
81,Chaos Knight,0.7622377622377622,0.006993006993006993,0.027972027972027972,0.18181818181818182,0.02097902097902098,0.7972027972027972,0.2027972027972028,0.23776223776223782,138,data_inferred
82,Meepo,0.88,0.06666666666666667,0.02666666666666667,0.013333333333333334,0.013333333333333334,0.9733333333333333,0.02666666666666667,0.12,70,data_inferred
83,Treant Protector,0.0040650406504065045,0.0040650406504065045,0.0040650406504065045,0.10975609756097561,0.8780487804878049,0.012195121951219513,0.9878048780487805,0.12195121951219512,241,data_inferred
84,Ogre Magi,0.00423728813559322,0.00847457627118644,0.05508474576271186,0.11864406779661017,0.8135593220338984,0.06779661016949153,0.9322033898305085,0.18644067796610164,231,data_inferred
85,Undying,0.011396011396011397,0.008547008547008548,0.45014245014245013,0.037037037037037035,0.4928774928774929,0.4700854700854701,0.5299145299145299,0.5071225071225072,346,data_inferred
86,Rubick,0.001984126984126984,0.06746031746031746,0.001984126984126984,0.7420634920634921,0.1865079365079365,0.07142857142857142,0.9285714285714286,0.2579365079365079,499,data_inferred
87,Disruptor,0.0013315579227696406,0.002663115845539281,0.0013315579227696406,0.08255659121171771,0.9121171770972037,0.005326231691078562,0.9946737683089215,0.08788282290279625,746,data_inferred
88,Nyx Assassin,0.002849002849002849,0.008547008547008548,0.002849002849002849,0.8888888888888888,0.09686609686609686,0.014245014245014245,0.9857549857549857,0.11111111111111116,346,data_inferred
89,Naga Siren,0.1902654867256637,0.0022123893805309734,0.004424778761061947,0.15265486725663716,0.6504424778761062,0.19690265486725664,0.8030973451327433,0.3495575221238938,447,data_inferred
90,Keeper of the Light,0.002638522427440633,0.29023746701846964,0.010554089709762533,0.5303430079155673,0.1662269129287599,0.30343007915567277,0.6965699208443272,0.4696569920844327,374,data_inferred
91,Io,0.006711409395973154,0.013422818791946308,0.020134228187919462,0.2348993288590604,0.7248322147651006,0.040268456375838924,0.959731543624161,0.2751677852348994,144,data_inferred
92,Visage,0.012345679012345678,0.024691358024691357,0.9259259259259259,0.012345679012345678,0.024691358024691357,0.962962962962963,0.037037037037037035,0.07407407407407407,76,data_inferred
93,Slark,0.6192468619246861,0.008368200836820083,0.03765690376569038,0.2719665271966527,0.06276150627615062,0.6652719665271967,0.33472803347280333,0.38075313807531386,234,data_inferred
94,Medusa,0.8544152744630071,0.007159904534606206,0.11933174224343675,0.014319809069212411,0.00477326968973747,0.9809069212410502,0.01909307875894988,0.14558472553699287,414,data_inferred
95,Troll Warlord,0.9855595667870036,0.0036101083032490976,0.0036101083032490976,0.0036101083032490976,0.0036101083032490976,0.9927797833935019,0.007220216606498195,0.014440433212996373,272,data_inferred
96,Centaur Warrunner,0.0010570824524312897,0.009513742071881607,0.9778012684989429,0.008456659619450317,0.003171247357293869,0.9883720930232558,0.011627906976744186,0.022198731501057112,941,data_inferred
97,Magnus,0.14385150812064965,0.16473317865429235,0.5754060324825986,0.10440835266821345,0.01160092807424594,0.8839907192575406,0.11600928074245939,0.4245939675174014,426,data_inferred
98,Timbersaw,0.007309941520467836,0.24269005847953215,0.7456140350877193,0.0029239766081871343,0.0014619883040935672,0.9956140350877193,0.0043859649122807015,0.2543859649122807,679,data_inferred
99,Bristleback,0.20193340494092374,0.03759398496240601,0.7508055853920516,0.0021482277121374865,0.007518796992481203,0.9903329752953813,0.00966702470461869,0.24919441460794844,926,data_inferred
100,Tusk,0.0007072135785007072,0.0014144271570014145,0.0007072135785007072,0.6082036775106082,0.38896746817538896,0.002828854314002829,0.9971711456859972,0.3917963224893918,1409,data_inferred
101,Skywrath Mage,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.7555555555555555,0.2311111111111111,0.013333333333333332,0.9866666666666666,0.24444444444444446,220,data_inferred
102,Abaddon,0.6911976911976911,0.001443001443001443,0.2481962481962482,0.004329004329004329,0.05483405483405483,0.9408369408369408,0.05916305916305916,0.30880230880230886,688,data_inferred
103,Elder Titan,0.0035714285714285713,0.0035714285714285713,0.025,0.08214285714285714,0.8857142857142857,0.03214285714285715,0.9678571428571429,0.11428571428571432,275,data_inferred
104,Legion Commander,0.022727272727272728,0.045454545454545456,0.8863636363636364,0.022727272727272728,0.022727272727272728,0.9545454545454546,0.045454545454545456,0.11363636363636365,39,data_inferred
105,Techies,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.7350993377483444,0.24503311258278146,0.019867549668874173,0.9801324503311258,0.26490066225165565,146,data_inferred
106,Ember Spirit,0.006227758007117438,0.9733096085409253,0.010676156583629894,0.008896797153024912,0.0008896797153024911,0.9902135231316725,0.009786476868327404,0.026690391459074703,1119,data_inferred
107,Earth Spirit,0.003257328990228013,0.8143322475570033,0.016286644951140065,0.13029315960912052,0.035830618892508145,0.8338762214983714,0.16612377850162868,0.18566775244299671,302,data_inferred
